Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,42.00,42.35,38.90,39.30,4842700,38.673
2016-03-31,41.40,42.75,40.35,42.45,3141200,41.773
2016-03-30,39.50,41.25,39.45,41.05,1423000,40.395
2016-03-29,40.30,40.40,38.50,38.85,2421800,38.23
2016-03-28,40.20,40.20,40.20,40.20,000,39.559
2016-03-25,40.20,40.20,40.20,40.20,000,39.559
2016-03-24,40.40,40.75,40.00,40.20,2942600,39.559
2016-03-23,41.60,41.65,40.10,40.80,1507700,40.149
2016-03-22,41.35,41.45,40.40,41.35,2450700,40.69
2016-03-21,41.30,41.40,40.50,40.85,1403000,40.198
2016-03-18,41.00,41.50,40.65,41.40,1586600,40.74
2016-03-17,40.90,41.25,40.50,40.85,1363700,40.198
2016-03-16,41.25,41.40,39.70,40.15,1267000,39.51
2016-03-15,41.00,41.25,40.60,41.25,3688600,40.592
2016-03-14,40.85,41.15,40.55,40.70,1833900,40.051
2016-03-11,40.55,40.85,39.95,40.70,2209400,40.051
2016-03-10,39.90,40.30,39.40,39.95,1898400,39.313
2016-03-09,39.20,39.85,38.85,39.60,671000,38.968
2016-03-08,40.50,40.50,39.30,39.70,2571600,39.067
2016-03-07,39.70,40.05,39.20,39.60,2765900,38.968
2016-03-04,38.90,39.50,38.75,39.20,1225000,38.575
2016-03-03,38.20,38.75,37.90,38.55,2181200,37.935
2016-03-02,37.90,38.30,37.25,38.15,1527900,37.541
2016-03-01,36.10,37.30,36.10,37.25,1464500,36.656
2016-02-29,37.30,37.30,35.65,36.15,1663100,35.573
2016-02-26,35.70,36.90,35.50,36.80,2037800,36.213
2016-02-25,35.40,35.60,34.35,34.90,1186000,34.343
2016-02-24,36.05,36.05,35.25,35.45,1233500,34.885
2016-02-23,36.40,36.60,35.85,36.10,811500,35.524
2016-02-22,35.90,36.55,35.80,36.40,1275900,35.819
2016-02-19,35.40,35.85,35.20,35.60,1430900,35.032
2016-02-18,34.80,35.35,34.70,35.20,3698700,34.639
2016-02-17,34.00,34.45,33.60,34.15,14469000,33.605
2016-02-16,34.10,34.80,33.70,34.10,4298100,33.556
2016-02-15,32.80,34.15,32.75,33.85,2524000,33.31
2016-02-12,32.50,32.95,32.40,32.70,2319800,32.178
